Name,POP Code,Model,Serial Number,Rack,RU,Device Name
acp1.wash.net.internet2.edu,WASH,Switched PDU Version 8.0w,10054380,TSG/OSS Rack [344224123],37,Sentry Switched PDU Version 8.0w
acp2.losa.net.internet2.edu,LOSA,C2WG08HC-0ABA2DAC,DUMMY-1649103307-5233,Internet2 Packet / TSG Rack [338555815],10,Server Technology C2WG08HC-0ABA2DAC
acp2.wash.net.internet2.edu,WASH,C2WG08HC-0ABA2DAC,DUMMY-1669842274-4016,TSG/OSS Rack [344224123],38,Server Technology C2WG08HC-0ABA2DAC
agg1.ashb.net.internet2.edu,ASHB,NCS-57D2-18DD-SYS,FOC2719R2NZ,Internet2 Packet Rack [0102-21506670],27,Cisco NCS-57D2-18DD-SYS
agg1.dall3.net.internet2.edu,DALL3,8202-SYS,FOC2428P3V1,NGI Combined Optical / Packet Cabinet,18,Cisco 8202-SYS
agg1.eqch.net.internet2.edu,EQCH,8202,FOC2428P3V4,Internet2 NGI Packet Rack,21,Cisco 8202
agg1.losa2.net.internet2.edu,LOSA2,NCS-57D2-18DD-SYS,FOC2838R00E,Internet2 NGI Combined Optical / Packet,25,Cisco NCS-57D2-18DD-SYS
agg1.newa.net.internet2.edu,NEWA,NCS-57D2-18DD-SYS,FOC2714RA7M,Internet2 Combination Rack (Primary),21,Cisco NCS-57D2-18DD-SYS
agg1.sanj.net.internet2.edu,SANJ,8202,FOC2428P3UX,Internet2 NGI Combined Optical / Packet Cabinet,30,Cisco 8202
agg1.seat.net.internet2.edu,SEAT,NCS-57D2-18DD-SYS,FOC2917R0A4,Internet2 Packet Rack,19,Cisco NCS-57D2-18DD-SYS
agg2.ashb.net.internet2.edu,ASHB,NCS-57D2-18DD-SYS,FOC2727R0GG,Internet2 Packet Rack [0102-21506670],23,Cisco NCS-57D2-18DD-SYS
agg2.dall3.net.internet2.edu,DALL3,8202-SYS,FOC2428P3UV,NGI Combined Optical / Packet Cabinet,16,Cisco 8202-SYS
agg2.eqch.net.internet2.edu,EQCH,8202-SYS,FOC2428P3V9,Internet2 NGI Packet Rack,17,Cisco 8202-SYS
agg2.losa2.net.internet2.edu,LOSA2,NCS-57D2-18DD-SYS,FOC2727R0GH,Internet2 NGI Combined Optical / Packet,23,Cisco NCS-57D2-18DD-SYS
agg2.newa.net.internet2.edu,NEWA,NCS-57D2-18DD-SYS,FOC2837R0DC,Internet2 Combination Rack (Primary),17,Cisco NCS-57D2-18DD-SYS
agg2.sanj.net.internet2.edu,SANJ,8202,FOC2428P3UE,Internet2 NGI Combined Optical / Packet Cabinet,28,Cisco 8202
agg2.seat.net.internet2.edu,SEAT,NCS-57D2-18DD-SYS,FOC2917R09Y,Internet2 Packet Rack,15,Cisco NCS-57D2-18DD-SYS
agg3.ashb.net.internet2.edu,ASHB,NCS-57D2-18DD-SYS,FOC2727R0FR,Internet2 Packet Rack [0102-21506670],13,Cisco NCS-57D2-18DD-SYS
agg3.dall3.net.internet2.edu,DALL3,NCS-55A1-36H-SE-S,FOC2319R0NG,NGI Combined Optical / Packet Cabinet,26,Cisco NCS-55A1-36H-SE-S
agg3.eqch.net.internet2.edu,EQCH,NCS-55A1-36H-SE-S,FOC2314R0FU,Internet2 AL2S,15,Cisco NCS-55A1-36H-SE-S
agg3.sanj.net.internet2.edu,SANJ,NCS-55A1-36H-SE-S,FOC2336R3DJ,Internet2 NGI Cabinet for NCS,25,Cisco NCS-55A1-36H-SE-S
agg4.dall3.net.internet2.edu,DALL3,NCS-55A1-36H-SE-S,FOC2232R0KC,NGI Combined Optical / Packet Cabinet,27,Cisco NCS-55A1-36H-SE-S
agg4.eqch.net.internet2.edu,EQCH,NCS-55A1-36H-SE-S,FOC2322R22N,Internet2 AL2S,14,Cisco NCS-55A1-36H-SE-S
agg4.sanj.net.internet2.edu,SANJ,NCS-55A1-36H-SE-S,FOC2322R21T,Internet2 NGI Cabinet for NCS,26,Cisco NCS-55A1-36H-SE-S
bastion.salt.net.internet2.edu,SALT,LinuxKVM,DUMMY-1673021901-5011,"Internet2 [AVAILABLE] 19""",0,LinuxKVM LinuxKVM
colo-srv2.losa.net.internet2.edu,LOSA,PowerEdge R530,DUMMY-1481751573-6184,Internet2 Packet / TSG Rack [338555815],5,Dell PowerEdge R530
colo-srv3.losa.net.internet2.edu,LOSA,PowerEdge R730xd,DUMMY-1481751620-1212,Internet2 Packet / TSG Rack [338555815],2,Dell PowerEdge R730xd
colo-sw2.pens.net.internet2.edu,PENS,Generic-3ru-device,DUMMY-1627591442-1748,Internet2 Combined Rack [337170542],26,Generic Generic-3ru-device
colo.jack.net.internet2.edu,JACK,R-Drawer-2u,DUMMY-1661532442-6098,Internet2 HD Combined Rack [337031122],26,Rack Solutions R-Drawer-2u
colo.losa.net.internet2.edu,LOSA,SRX210,DUMMY-1481750960-1968,Internet2 Packet / TSG Rack [338555815],8,Juniper SRX210
core1.alba.net.internet2.edu,ALBA,8201,FOC2434N009,Internet2 Combined Rack [335802275],24,Cisco 8201
core1.ashb.net.internet2.edu,ASHB,8201,FOC2440NBXB,Internet2 Packet Rack [0102-21506670],20,Cisco 8201
core1.atla.net.internet2.edu,ATLA,8201,FOC2449P4TV,Packet Rack [BBBL17833],18,Cisco 8201
core1.bato.net.internet2.edu,BATO,8201-32FH,FLM29150EQD,Internet2 Packet Rack [BBLQ26391],30,Cisco 8201-32FH
core1.bois.net.internet2.edu,BOIS,8201,FOC2434N02Q,Internet2 Combined Rack [336482838],24,Cisco 8201
core1.bost.net.internet2.edu,BOST,8201-32FH,FLM263400Y2,Internet2 HD Optical Rack [4419042098],18,Cisco 8201-32FH
core1.bost2.net.internet2.edu,BOST2,8201,FOC2449P4UM,Internet2 Combined Rack,24,Cisco 8201
