Name,Code,City,State,Street,Floor,Country Name,Zip,Suite
Akron POP,AKRO,Akron,Ohio,106 S Arlington St,,United States,44306,
Albany Add/drop,ALBA,Albany,New York,194 Washington Ave,fifth floor,United States,12210,S002
Albany 99 Wash GT,ALBA2,Albany,New York,99 Washington Ave,,United States,12210,
Albany I87 GT,ALBA3,Albany,New York, I87 ,,United States,12201,
Albany unneeded GT Pearl St,ALBA4,Albany,New York,316 N Pearl St,,United States,12207,
Albany Glass-Thru,ALBA5,Albany,New York,55 McAlpin St,,United States,12209,
Albuquerque POP,ALBU,Albuquerque,New Mexico,505 Marquette Avenue NW ,1st Floor,United States,87102,112
Albuquerque GT,ALBU2,Albuquerque,New Mexico,104 Gold Avenue SE,,United States,87110,
Alpine POP,ALPI,Alpine,Texas,22313 US HWY 90 Hwy,,United States,79830,
Internet2 Amsterdam POP at Netherlight,AMST,Amsterdam,Other,Science Park 121,,Netherlands,1098,
"Amsterdam, NY POP",AMST2,Amsterdam,New York,1043 Langley Rd,,United States,12010,
ACS North Wirecenter (NWC) OFFNET,ANCH,Anchorage,Alaska,1309 E St,,United States,99501,
ACS East Wirecenter (EWC),ANCH2,Anchorage,Alaska,7441 Debar Rd,,United States,99501,
Anderson (Gluck) POP,ANDE,Anderson (Gluck),South Carolina,109 Martin Rd,,United States,29626,
Angola POP,ANGO,Angola,Indiana,832 E US Highway 20,,United States,46703,
Arapahoe POP,ARAP,Arapahoe,Nebraska,72294 Rd 429,,United States,68922,
Ashburn POP,ASHB,Ashburn,Virginia,21715 Filigree Ct,,United States,20147,
Ashburn 2 Glass through,ASHB2,Ashburn,Virginia,21711 Filigree Ct.,,United States,20147,
Atlanta--[router],ATLA,Atlanta,Georgia,180 Peachtree Street NW,4th floor,United States,30303,S007
Atlanta - 345 Courtland Glass through,ATLA2,Atlanta,Georgia,345 Courtland NE St,,United States,30308,
Atlanta - 56 Marrietta,ATLM,Atlanta,Georgia,56 Marietta St NW,2,United States,30303,
Auburn POP,AUBU,Auburn,California,1725 Auburn Ravine Rd,,United States,95603,
Auburn POP,AUBU2,Auburn,Nebraska,2m S/O 26 on US HWY 75 E/O 725,,United States,68305,
Ault POP,AULT,Ault,Colorado,19493 County Rd 80,,United States,80610,
Austin POP,AUST,Austin,Texas,500 B Chicon St,,United States,78702,
Baker (Silver Lake) POP,BAKE,Baker (Silver Lake),California,60060 Power Line Rd,,United States,92309,
Baltimore POP,BALT,Baltimore,Maryland,300 W Lexington St,3rd Floor,United States,21201,"No Suite.  
ICC"
Banning POP,BANN,Banning,California,2010 E Westward Ave,,United States,92220,
Barnsdall POP,BARN,Barnsdall,Oklahoma,545 A CORT 2401 ,,United States,74002,
Barstow POP,BARS,Barstow,California,29811 Brahma Rd,,United States,92311,
Basile POP,BASI,Basile,Louisiana,1919 Hunter Rd,,United States,70515,
Batavia POP,BATA,Batavia,New York,8216 Kelsey Rd,,United States,14020,
Baton Rouge--grooming,BATO,Baton Rouge,Louisiana,9826 Burbank Drive,first floor,United States,70810,S005
Baton Rouge Glass through,BATO2,Baton Rouge,Louisiana,445 North Blvd,,United States,70802,
Baxley (Surrency) POP,BAXL,Baxley (Surrency),Georgia, Yellow Jacket Rd,,United States,31513,
Bellevue (Omaha) POP,BELL,Bellevue,Nebraska,1514 Chandler Rd W,,United States,68147,
Benson POP,BENS,Benson,Arizona,3153 W Train Track Rd,,United States,85602,
Bernardo POP,BERN,Bernardo,New Mexico,90 Ramon Lopez Rd,,United States,87006,
Beryl (Yale Crossing) POP,BERY,Beryl (Yale Crossing),Utah,8471 N 5600 W ,,United States,84714,
Bethune POP,BETH,Bethune,Colorado,32353 COHWY 40 ,,United States,80805,
Birmingham POP,BIRM,Birmingham,Alabama,401 6th St S,,United States,35233,
Bison POP,BISO,Bison,Kansas, Rual Route 1 N383727 W99735,,United States,67520,
0: Parts Storage Bloomington Data Center,bldc,Bloomington,Indiana,2737 E. 10th St,,United States,47408,
Bloomington Data Center,BLDC,Bloomington,Indiana,2737 E. 10th St,,United States,47408,Enterprise Pod
Bloomington POP,BLOO,Bloomington,Illinois,3206 Stringtown Rd,,United States,61705,
Blountsville POP,BLOU,Blountsville,Alabama,70415 Main St,,United States,35031,
Bogart POP,BOGA,Bogart,Georgia,206 BEAR CREEK LN,,United States,30622,
Boise,BOIS,Boise,Idaho,435 West McGregor Drive,first floor,United States,83705,
Bosque POP,BOSQ,Bosque,New Mexico,1236 Hwy 1 ,,United States,87006,
Boston--grooming,BOST,Boston,Massachusetts,300 Bent Street,first floor,United States,2141,
Boston POP - Markley,BOST2,Boston,Massachusetts,One Summer St,,United States,2110,
Boston Glass through,BOST3,Boston,Massachusetts,1 Summer St,,United States,2110,
Bowie POP,BOWI,Bowie,Arizona,2403 Luzena Rd,,United States,85632,
Bracketville POP,BRAC,Bracketville,Texas,15402 US HWY 90 Hwy,,United States,78832,
Brenham POP,BREN,Brenham,Texas,55 Wildflower Rd,,United States,44833,
Bridge POP,BRID,Bridge,Idaho,2775 S 2400 E ,,United States,83342,
Bridgewater POP,BRID2,Bridgewater,Connecticut, Rt 67 New Milford Ebow Brook,,United States,6752,
Brocade RMA,Brocade,San Jose,California,1320 Ridder Park Drive,,United States,95131,
Buckeye (Agua Caliente) POP,BUCK,Buckeye (Agua Caliente),Arizona,20402 S 419th Ave,,United States,85326,
Buckeye POP,BUCK2,Buckeye,Arizona,8416 S 299th Ave,,United States,85326,
Buffalo POP,BUFF,Buffalo,New York,325 Delaware Ave,,United States,14202,
